Sr,Date,URL,ID,User,Tweet,emotion_text2emotion
21,2021-09-29 16:57:07+00:00,https://twitter.com/ImranaPhD/status/1443258552068579330,1.44E+18,ImranaPhD,Jobless PhDs issue highlighted by Dr. Fareeha ambreen.... #savePhDs https://t.co/EnUbHXVZsI,Fear
22,2021-09-29 13:10:55+00:00,https://twitter.com/DrNatasha13/status/1443201624533569539,1.44E+18,DrNatasha13,"@MaryamNSharif HIGHER EDUCATION Tabah De 😶
#RespectPhds #SavePhds https://t.co/qEMTsCMzEy",Surprise
23,2021-09-29 12:01:32+00:00,https://twitter.com/KhalidUsmanPk/status/1443184164321349632,1.44E+18,KhalidUsmanPk,What are the plans of Govt. to effectively use PhD degree holders in the country by providing them reasonable job opportunities? #SavePhDs https://t.co/HtNi5YTXif,Happy
24,2021-09-27 10:11:18+00:00,https://twitter.com/HeyTufail/status/1442431646834253824,1.44E+18,HeyTufail,"The University of Agriculture, DI Khan is recruiting lecturers (BPS-18) in different fields and asking for application processing fee of Rs. 5000. While for BPS-19 and BPS-17 to BPS-01 its Rs. 10000 and 2000, respectively! That's too much!! #savephds 
@hecpkofficial
@ZarrarKhuhro https://t.co/4r4oTwTash",Fear
25,2021-09-26 19:04:47+00:00,https://twitter.com/Mehmood2Dr/status/1442203513703047177,1.44E+18,Mehmood2Dr,"#Savephds
@PakistanPMDU
@PMOAJK
We are foreign qualified Unemployeed PhDs in Azad Kashmir looking for jobs ,no jobs ,no rights for Highly qualified Unemployeed PhDs.Please give respect to merit and give  jobs to us.We came back from foreign countries to serve our country. https://t.co/STwhEDJ9eG",Fear
26,2021-09-24 12:44:22+00:00,https://twitter.com/MuhammadAbaid15/status/1441383005671628800,1.44E+18,MuhammadAbaid15,Thousands of PhDs are unemployed which is a black mark on face of PTI. Consequently the progress of country has been stopped. #RespectPhds #SavePhds #banvisitingfaculty @WusatUllahKhan @shizrehman @gabolizm @DrAbidAbbasi @mahparasafdar @shazbkhanzdaGEO @hecpkofficial https://t.co/dX3wcqaq8Q,Surprise
27,2021-09-23 19:44:54+00:00,https://twitter.com/MuhammadAbaid15/status/1441126447637168130,1.44E+18,MuhammadAbaid15,It is the 1st time in History when high no. of PhDs are unemployed in Pakistan.  #Tabdeeli #SavePhds #RespectPhds #banvisitingfaculty https://t.co/926v9UXYjJ,Fear
28,2021-09-21 13:13:59+00:00,https://twitter.com/MuhammadAbaid15/status/1440303292366528512,1.44E+18,MuhammadAbaid15,"Thousands of PhDs are unemployed while economy of country is gradually getting down. Govt is sleeping . . .  
#RespectPhds #SavePhds #banvisitingfaculty 
@ypdapak 
@WusatUllahKhan @shizrehman https://t.co/0r94e7DX1k",Fear
29,2021-09-17 09:38:18+00:00,https://twitter.com/MuhammadAbaid15/status/1438799463099813888,1.44E+18,MuhammadAbaid15,"Lesson for Pakistani policy makers. 
#RespectPhds #SavePhds #Banvisitingfaculty https://t.co/kseV8Mh6Hu",Fear
30,2021-09-17 09:05:54+00:00,https://twitter.com/MuhammadAbaid15/status/1438791308789878787,1.44E+18,MuhammadAbaid15,It happened when Riasat E Madina starts to appoint Retired officers at executive positions without any accountability by ignoring highly skilled PHD degree holders. #RespectPhds #SavePhds #banvisitingfaculty @gabolizm @shizrehman @AsadAToor @HamidMirPAK @asmashirazi https://t.co/nKQFLBHrFD,Surprise
31,2021-09-17 09:01:00+00:00,https://twitter.com/MuhammadAbaid15/status/1438790077770043393,1.44E+18,MuhammadAbaid15,"The only way to strengthen the economy and to educate the nation. #RespectPhds #SavePhds #banvisitingfaculty 
@OfficialDGISPR @gabolizm @ImranKhanPTI @ypdapak @PDAPakistan https://t.co/QhdZIwq3rx",Fear
32,2021-09-16 19:00:56+00:00,https://twitter.com/FarrukhEnto/status/1438578666955497474,1.44E+18,FarrukhEnto,@Asad_Umar Sir where are the jobs? Plz dont rely On surveys. Come out of your offices &amp; see the ground reality. Majority of PhDs in the country are jobless with a blind future &amp; just waiting to open the borders to escape from this lawless state. #savephds https://t.co/BqFin4QW89,Fear
33,2021-09-16 18:24:09+00:00,https://twitter.com/naeem55000565/status/1438569410487279616,1.44E+18,naeem55000565,Yha prices k sth to jo b hra h us k ilawa is mulk ka high qualified tbka (Phd doctors) intehai mshkl time s gzr ra h or mze ki bt ye k is bt ki kisi koi prwa ni. Shameful act for our uneducated leaders #savePhDs #PriceHikeRejected,Sad
34,2021-09-14 23:05:38+00:00,https://twitter.com/MuhammadAbaid15/status/1437915474591948806,1.44E+18,MuhammadAbaid15,"The highest ever . . .  Unemployed PhD degree holders.

Salami kis ko pesh karni ha??? 

@ImranKhanPTI
@WusatUllahKhan
@hecpkofficial @shizrehman @OfficialDGISPR @HamidMirPAK @shazbkhanzdaGEO @gabolizm #SavePhds #RespectPhds #banvisitingfaculty 
👇👇👇
https://t.co/v1dhJ3ws8t https://t.co/gzn1MMmBPg",Surprise
35,2021-09-14 19:53:14+00:00,https://twitter.com/Mehmood2Dr/status/1437867055559155716,1.44E+18,Mehmood2Dr,"@AqayyumniaziPTI 
@BarrSultanPTI 
#savephds
Please give jobs to highly qualified Unemployeed PhDs in AJK.Give respect to them . https://t.co/VC9xLcBOaJ",Fear
36,2021-09-14 15:32:57+00:00,https://twitter.com/MuhammadAbaid15/status/1437801549141532676,1.44E+18,MuhammadAbaid15,"@GovtofPakistan Total fraud. Higher Education has been deteriorated deliberately by @ImranKhanPTI  @hecpkofficial Uni's heads are busy in point scoring rather uplifting the quality of education.Varsities are being run with less then 25% of PhD faculty on visiting @shizrehman @gabolizm
#SavePhds https://t.co/5v3b5RUcYa",Fear
37,2021-09-14 14:35:04+00:00,https://twitter.com/Dr_Huda_Says/status/1437786985909915657,1.44E+18,Dr_Huda_Says,"The most scary question these days in family/social gatherings: Aj kal kahan job kr rhe ho?
#SavePhDs 
@Drimranaamir @Saira_Bhatti07 @farooqAlashari https://t.co/esm2tcEwtk",Fear
38,2021-09-14 12:25:22+00:00,https://twitter.com/AnmolImtiaz2/status/1437754343252496384,1.44E+18,AnmolImtiaz2,"RIP education system🥺🥺, and Applause for Imran khan who didnt even speak one word
#imrankhanPTI 
#savephds https://t.co/vBkqbRt8Y7",Fear
39,2021-09-14 01:42:29+00:00,https://twitter.com/PhDSindh/status/1437592556150329354,1.44E+18,PhDSindh,"#savePhDs 
#StopLootingPhDs 
We are highly thankful of PVC DUET to endorse the struggle for rights and his contribution in noble cause of oppressed educated class of this society. 
@AWBhutto https://t.co/8NvKdcLrVS",Fear
40,2021-09-13 09:39:53+00:00,https://twitter.com/mansurkhattak/status/1437350312667398146,1.44E+18,mansurkhattak,"NUML uni does so every semester.
#savephds #NoToVisitingFaculty https://t.co/C5RVIDEegd",Surprise
41,2021-09-13 04:45:48+00:00,https://twitter.com/DrHassanphy/status/1437276304697552898,1.44E+18,DrHassanphy,#Comsats University advertise every year for visiting faculty posts for all departments just to create pool of visiting faculty with processing fees of 500 Rs but they never call you back. #savephds #NoToVisitingFaculty https://t.co/Gh4h4u5R1K,Fear
42,2021-09-12 16:14:00+00:00,https://twitter.com/PhDSindh/status/1437087107407925251,1.44E+18,PhDSindh,"#savePhDs 
#StopLootingPhDs 
Govt institutions have been hijacked through union mafias. They are no more providing relief any other class of society &amp; to provide more ease to unions they are keep increasing students fees &amp; other charges on issuing testimonials with zero facility. https://t.co/WmKQvguqoE",Fear
43,2021-09-12 11:05:42+00:00,https://twitter.com/Mehmood2Dr/status/1437009519192780803,1.44E+18,Mehmood2Dr,"#savephds
Please think about unemployed Phds in Pakistan also ... https://t.co/MoH5E73lBW",Surprise
44,2021-09-12 09:53:37+00:00,https://twitter.com/sabirwithu/status/1436991377267728384,1.44E+18,sabirwithu,Government must introduce a proper hireing meqnizum in Universities  like PPSC. #savePhDs,Happy
45,2021-09-12 06:45:49+00:00,https://twitter.com/naeem55000565/status/1436944117641224197,1.44E+18,naeem55000565,"@InsafPK Agr ap chahty hn apki aane wali nslon ka future mehfooz ho to kc na kc tra is musebt s bchen qk inki hkomt m practically example hm PhDs hn jo berozgar hn. To sochen aam admi k sth kia hta hga.

#savePhDs",Surprise
46,2021-09-12 05:49:39+00:00,https://twitter.com/Dr_shah_1/status/1436929984090738692,1.44E+18,Dr_shah_1,PhDs are continuously being exploited through hiring visiting faculty and keeping hundreds of regulars positions vacant by the universities. Why HEC is silent and is not able to enforce its policies to universities?  #StopLootingPhDs #savePhDs #saveEducation,Fear
47,2021-09-12 02:48:51+00:00,https://twitter.com/PhDSindh/status/1436884483085570050,1.44E+18,PhDSindh,"#savePhDs 
#StopLootingPhDs 
In the era of technologies, we still apply through dark ages period. Take pictures, Print form, fill it then attached testimonials hard copies few sets with attestation and then do courier. They can’t do these things even from our application fee. https://t.co/lFxbpZiGMd",Fear
48,2021-09-11 20:33:03+00:00,https://twitter.com/OfPhds/status/1436789908836741123,1.44E+18,OfPhds,"The same will be true for married Jobless PhDs.
#StopLootingPhDs 
#savePhDs 
#StopLootingPhDs 
#savePhDs 
#StopLootingPhDs 
#savePhDs 
#StopLootingPhDs 
#savePhDs 
#StopLootingPhDs 
#savePhDs 
#StopLootingPhDs 
#savePhDs
#StopLootingPhDs 
#savePhDs
#StopLootingPhDs 
#savePhDs https://t.co/7QyA4AslK9",Surprise
49,2021-09-11 19:43:08+00:00,https://twitter.com/mansurkhattak/status/1436777349337473026,1.44E+18,mansurkhattak,"Exactly, we are kind of dragged into this situation. we can't pay their so-called processing fee anymore. @SaniaNishtar could you kindly allocate some budget for #joblessPhDs as well, to support them in paying the application fee.
#StopLootingPhDs
#SavePhDs https://t.co/NymnI2T4B4",Happy
50,2021-09-11 18:35:01+00:00,https://twitter.com/SUMAIRAIRUMKHA1/status/1436760204784308224,1.44E+18,SUMAIRAIRUMKHA1,@BLACKCAPS @TheRealPCB Waem welcome from Whole Paki Nation. We want peace and serenity in our beloved country. #StopLootingPhDs #SavePhDs,Happy
51,2021-09-11 18:10:49+00:00,https://twitter.com/SUMAIRAIRUMKHA1/status/1436754115770605569,1.44E+18,SUMAIRAIRUMKHA1,VC was ousted on forced leave with all privileges. Investigation was carried out. From 2017 to uptill now they didn't show result of that investigation. How can a system improve if culprit is living a respectable life after ruining deserved candidates. #StopLootingPhDs #SavePhDs https://t.co/NankqkzUWg,Fear
52,2021-09-11 18:02:55+00:00,https://twitter.com/SUMAIRAIRUMKHA1/status/1436752126630313987,1.44E+18,SUMAIRAIRUMKHA1,"Govt. is not able to take any action against a VC despite allegation of corruption, use of illegal means, favouritism and nepotism during appointments. What we can expect from our Govt.? #StopLootingPhDs  #SavePhDs https://t.co/Tjl99A6jqb",Happy
53,2021-09-11 17:57:28+00:00,https://twitter.com/SUMAIRAIRUMKHA1/status/1436750758100221959,1.44E+18,SUMAIRAIRUMKHA1,Who will control these mourns? #StopLootingPhDs #SavePhDs https://t.co/6n1z29P74z,Surprise
54,2021-09-11 17:52:45+00:00,https://twitter.com/SUMAIRAIRUMKHA1/status/1436749570730610691,1.44E+18,SUMAIRAIRUMKHA1,How can our education system improves? How can we get on top RankinG? These are mourns who are continously ruininG our system. #StopLootingPhDs #SavePhDs https://t.co/oXokJB88EQ,Fear
55,2021-09-11 17:49:46+00:00,https://twitter.com/SUMAIRAIRUMKHA1/status/1436748817165062147,1.44E+18,SUMAIRAIRUMKHA1,These Universities are just collecting Application processing fees. Why they aren't conducting further processes? #StopLootingPhDs #SavePhDs https://t.co/PGMrPFRcKL,Surprise
56,2021-09-11 16:18:08+00:00,https://twitter.com/mushtaqjan61/status/1436725758299312136,1.44E+18,mushtaqjan61,"Visiting faculty members can’t serve the institutions to their full potential. Then how can we expect our institutions to grow to reach among world’s top educational institutions? @Shafqat_Mahmood @ImranKhanPTI  @fawadchaudhry
#StopLootingPhDs #savePhDs",Fear
57,2021-09-11 16:03:26+00:00,https://twitter.com/Saira_Bhatti07/status/1436722059149660162,1.44E+18,Saira_Bhatti07,"I want back all my money I deposited for the job posts that were cancelled later on. 
میری سادگی دیکھ کیا چاھتا ہوں۔
#StopLootingPhDs 
#savePhDs",Fear
58,2021-09-11 16:00:18+00:00,https://twitter.com/tariqbwp/status/1436721270746460175,1.44E+18,tariqbwp,"@AbkLashari Universities are lucky enough to fool jobless phds
#savePhDs",Happy
59,2021-09-11 15:38:24+00:00,https://twitter.com/WaqasClimate/status/1436715760894808067,1.44E+18,WaqasClimate,"@sidiqbal0 Even visiting faculty is pre-decided, and worst scenario is when they collect processing fee from unemployed youth again and again for the same post which is pre-decided #savePhDs",Sad
60,2021-09-11 15:35:13+00:00,https://twitter.com/ZulfiMirani/status/1436714957937184771,1.44E+18,ZulfiMirani,#savePhDs. Most of the advertisement of universities are for dramatisation for accommodation of preselected candidate. Our poor PhDs regularly playing the role of extras to support the favourite candidate as proper selection.,Happy
61,2021-09-11 14:52:48+00:00,https://twitter.com/fedupPakistani/status/1436704283479715853,1.44E+18,fedupPakistani,"I have no issue in competing with my Follow phds as long as we all get fair n equal chance. 
#savePhDs 
#StopLootingPhDs",Fear
62,2021-09-11 14:50:12+00:00,https://twitter.com/fedupPakistani/status/1436703628547481608,1.44E+18,fedupPakistani,"I dont want Govt to give me job on a plate, all i want is a fair chance to show my expertise. I have no problem in failing an interview if someone better/deserving than me gets the job. Is that too much to ask?

#savePhDs 
#StopLootingPhDs",Fear
63,2021-09-11 14:45:02+00:00,https://twitter.com/ZulfiMirani/status/1436702330792124416,1.44E+18,ZulfiMirani,"#savePhDs our respected Professor Mafia don't care about conflict of interest. They select as examiner or chair of selection board from list of friend and fellows. Even most of the time teacher, chairman and applicants are from same lab. This is common practice in every uni.",Happy
64,2021-09-11 14:42:19+00:00,https://twitter.com/Saira_Bhatti07/status/1436701644956315648,1.44E+18,Saira_Bhatti07,"@AbkLashari Looting our saving. 
#savePhDs
#StopLootingPhDs",Surprise
65,2021-09-11 14:39:35+00:00,https://twitter.com/fedupPakistani/status/1436700955748315144,1.44E+18,fedupPakistani,"Now that i have your attention. 
I just wanna say 

#savePhDs 
#StopLootingPhDs https://t.co/SDet2euNGa",Sad
66,2021-09-11 14:38:20+00:00,https://twitter.com/fedupPakistani/status/1436700644816064521,1.44E+18,fedupPakistani,"Now that i have your attention. 
I just Wanna say 

#savePhDs 
#StopLootingPhDs https://t.co/4Iq0c3ErOg",Sad
67,2021-09-11 14:36:53+00:00,https://twitter.com/Saira_Bhatti07/status/1436700276292001798,1.44E+18,Saira_Bhatti07,"Well said 
#savePhDs https://t.co/v7tj9ATuij https://t.co/lXU4dKxg2v",Surprise
68,2021-09-11 14:35:42+00:00,https://twitter.com/fedupPakistani/status/1436699978097889290,1.44E+18,fedupPakistani,"Definitely proud 

#savePhDs 
#StopLootingPhDs 
#savePhDs 
#StopLootingPhDs https://t.co/CqsEnl1ZhX",Happy
69,2021-09-11 14:33:49+00:00,https://twitter.com/YasirMadiha/status/1436699506129743875,1.44E+18,YasirMadiha,How true😥 #savePhDs #StopLootingPhDs https://t.co/Im6ciSabMI,Surprise
70,2021-09-11 14:32:18+00:00,https://twitter.com/Saira_Bhatti07/status/1436699125081325569,1.44E+18,Saira_Bhatti07,"University announced post: yes I will apply
Processing Fee: 6k 
#savePhDs https://t.co/wl0blTE2LY",Surprise
71,2021-09-11 14:29:25+00:00,https://twitter.com/MuhammadAbaid15/status/1436698400100167686,1.44E+18,MuhammadAbaid15,"Same act is being performed by @hecpkofficial and @PTISPOfficial @PTIofficial in Pakistan.

#SavePhds #banvisitingfaculty #StopLootingPhDs https://t.co/o80MzkPbJy",Surprise
72,2021-09-11 14:01:11+00:00,https://twitter.com/Saira_Bhatti07/status/1436691292180860936,1.44E+18,Saira_Bhatti07,"Highly agreed.
#savePhDs https://t.co/JtmdSz8Th1",Surprise
73,2021-09-11 13:58:07+00:00,https://twitter.com/Saira_Bhatti07/status/1436690520122839046,1.44E+18,Saira_Bhatti07,"Many universities when need money they advertise post and fill up their accounts. 
#StopLootingPhDs 
#savePhDs",Fear
74,2021-09-11 13:56:46+00:00,https://twitter.com/ImranaPhD/status/1436690181013311494,1.44E+18,ImranaPhD,@MuhammadRiazPa4 @OfPhds @Saira_Bhatti07 @SaniaNishtar Very true. #StopLootingPhDs  #savePhDs,Surprise
75,2021-09-11 13:56:45+00:00,https://twitter.com/Saira_Bhatti07/status/1436690178425380866,1.44E+18,Saira_Bhatti07,"@Dr_Huda_Says Intellectual corruption 
#savePhDs
#StopLootingPhDs",Surprise
76,2021-09-11 13:52:05+00:00,https://twitter.com/Saira_Bhatti07/status/1436689002724212737,1.44E+18,Saira_Bhatti07,"Unfortunately
#savePhDs https://t.co/qjrG9Axc20",Sad
77,2021-09-11 13:43:36+00:00,https://twitter.com/Saira_Bhatti07/status/1436686870658883588,1.44E+18,Saira_Bhatti07,"This practise of job advertisement for multiple times without any interviews clearly indicating they don't have any intension to hire some body just for sake of money they announce these posts.
#StopLootingPhDs
#SavePhDs",Fear
78,2021-09-11 13:43:02+00:00,https://twitter.com/Saira_Bhatti07/status/1436686725955399682,1.44E+18,Saira_Bhatti07,"This practice of job advertisement many times without any interview clearly shows that the universities have no intention of giving jobs, they only announce these positions just to make money.
  #StopLootingPhDs.
  #SavePhDs",Fear
79,2021-09-11 13:42:01+00:00,https://twitter.com/Saira_Bhatti07/status/1436686468374798336,1.44E+18,Saira_Bhatti07,"@YasirMadiha @ImranKhanPTI @fawadchaudhry @Shafqat_Mahmood Might is right.
#savePhDs",Surprise
80,2021-09-11 13:40:56+00:00,https://twitter.com/alroundr/status/1436686198811074567,1.44E+18,alroundr,"#SavePhds
#Islamophobia
#September11
#drabdulqadeer
#IqraAziz
#MessyXtreme
Blue white sky above the green land
This is Kashmir https://t.co/x6qC8fSLHu",Fear
81,2021-09-11 13:40:45+00:00,https://twitter.com/alroundr/status/1436686149414789121,1.44E+18,alroundr,"#SavePhds
#Islamophobia
#September11
#drabdulqadeer
#IqraAziz
#MessyXtreme
How nature showing his different colours at my village site 
Rain 🌧️
Cloudy ☁️
Rainbow 🌈
Birds 🐦 chirping
یہ تو کشمیر ہے اس کے حسن کا کیا کہنا
Piece of paradise on earth ❤️🌎 https://t.co/bBNR8Gu5Od",Fear
82,2021-09-11 13:36:16+00:00,https://twitter.com/YasirMadiha/status/1436685021251780612,1.44E+18,YasirMadiha,"Visiting faculty members can’t serve the institutions to their full potential. Then how can we expect our institutions to grow to reach among world’s top educational institutions? @Shafqat_Mahmood @ImranKhanPTI  @fawadchaudhry 
#StopLootingPhDs #savePhDs",Fear
83,2021-09-11 13:31:31+00:00,https://twitter.com/YasirMadiha/status/1436683828999991296,1.44E+18,YasirMadiha,"How can we expect good research outcome from universities when most of the faculty members are teaching as visiting lecturers???
#savePhDs #StopLootingPhDs",Sad
84,2021-09-11 13:30:13+00:00,https://twitter.com/Saira_Bhatti07/status/1436683502272106496,1.44E+18,Saira_Bhatti07,"For jobless it is very difficult to spend 4 to 6 thousand for applying on single post (application fee, bank draft fee, photocopies for three dossiers then fee of posting all these stuff). Then in same month they advertise visiting jobs for same post.#savePhDs
#StopLootingPhDs",Fear
85,2021-09-11 13:28:15+00:00,https://twitter.com/GreenSapphire5/status/1436683007239221249,1.44E+18,GreenSapphire5,"@ImranKhanPTI @hecpkofficial @fawadchaudhry @SHABAZGIL @Shafqat_Mahmood 
#SavePhDs
#savePhDs 
#SavePhDs
#SavePhDs 
#SavePhDs
#SavePhDs
#savePhDs 
#SavePhDs
#SavePhDs 
#SavePhDs
#SavePhDs
#savePhDs 
#SavePhDs
#SavePhDs 
#SavePhD
#SavePhDs
#savePhDs 
#SavePhDs
#SavePhDs 
#Save PhDs",Surprise
86,2021-09-11 13:00:27+00:00,https://twitter.com/ZiaMarwat19/status/1436676010951413763,1.44E+18,ZiaMarwat19,"@Dr_Huda_Says @hecpkofficial @ImranKhanPTI Yey, good job 
#savePhDs 
#StopLootingPhDs",Fear
87,2021-09-11 12:55:27+00:00,https://twitter.com/ahmemon05/status/1436674752815538178,1.44E+18,ahmemon05,"#savePhDs 
#StopLootingPhDs

Great guys carry on, we are grooming gradually.  

 #OnlyTogetherWeCan https://t.co/DTnI3CwJfS",Happy
88,2021-09-11 12:48:45+00:00,https://twitter.com/ZiaMarwat19/status/1436673067208564740,1.44E+18,ZiaMarwat19,"#savePhDs
#StopLootingPhDs
Appreciate everyone be active https://t.co/AEPFtFs6N3",Happy
89,2021-09-11 12:40:00+00:00,https://twitter.com/Dr_Huda_Says/status/1436670862661492737,1.44E+18,Dr_Huda_Says,"@Saira_Bhatti07 @Zai2Afzal Universities ab advertisement deti he isi liye hain k paisa ikatha kiya jae. Processing fee collected∝number of vacancies announced. With one such Ad, university earns millions. #StopLootingPhDs #savePhDs",Surprise
90,2021-09-11 12:30:44+00:00,https://twitter.com/ImranaPhD/status/1436668531983192071,1.44E+18,ImranaPhD,"True... #StopLootingPhDs 
#savePhDs https://t.co/nKnmiRMdxj",Surprise
91,2021-09-11 12:27:14+00:00,https://twitter.com/Sargana_writes/status/1436667651737018383,1.44E+18,Sargana_writes,"""The pursuit of PhD is an enduring daring adventure""
#StopLootingPhDs #savePhDs",Fear
92,2021-09-11 12:14:25+00:00,https://twitter.com/Tariqyad/status/1436664425969225740,1.44E+18,Tariqyad,"I still say that 911 was an artifice, Afghanistan is an opportunity, and Pakistan is targeted. 
#GeneralHamidGul

#افغانستان_بہانہ
#September11
#drabdulqadeer
#Shafqatmehmood
#LSA2021
#PAKvNZ
#DunyaNews
#Islamophobia
#7thSkyEntertainment
#savePhDs
@OfficialDGISPR 
#ShahRukhKhan https://t.co/IihNSDmdtN",Happy
